author_short;author_bnf
Brissot;Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte
Brissot;"Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte | Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte |
"
Clavière;Clavière, Étienne (1735-1793). Auteur du texte
Condorcet;Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte
Desmoulins;Desmoulins, Camille (1760-1794). Auteur du texte
Ducrest;Ducrest, Charles-Louis (1747-1824). Auteur du texte
Ducrest;Ducrest, Charles-Louis. Auteur du texte
Olympe de Gouges;Gouges, Olympe de (1748-1793). Auteur du texte
Laclos;Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte
Manuel;Manuel, Louis-Pierre (1751-1793). Auteur du texte
Marat;Marat, Jean-Paul (1743-1793). Auteur du texte
Mirabeau;Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Auteur du texte
Pétion;Pétion, Jérôme (1756-1794). Auteur du texte
Sieyès;Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte